vendorID,passengerCount,tripDistance,totalAmount,puYear,puMonth,month_num,day_of_month,day_of_week,hour_of_day
2,1,1.6,8.3,2015,1,1,1,3,15
1,1,0.4,8.75,2015,1,1,30,4,21
2,1,4.18,22.1,2015,1,1,14,2,8
2,1,3.17,13.3,2015,1,1,4,6,0
2,1,1.9,17.3,2015,1,1,7,2,14
2,5,1.22,6.8,2015,1,1,2,4,12
2,2,0.86,5.3,2015,1,1,2,4,15
2,5,1.1,7.8,2015,1,1,23,4,14
2,2,4.49,17.3,2015,1,1,19,0,0
2,1,6.17,26.42,2015,1,1,19,0,1
1,1,0.8,5.8,2015,1,1,5,0,5
1,1,21.6,62.3,2015,1,1,20,1,21
1,1,5.2,25.55,2015,1,1,21,2,16
2,1,0.75,8.6,2015,1,1,13,1,19
2,1,4.92,20.0,2015,1,1,26,0,0
2,1,2.07,11.75,2015,1,1,24,5,13
2,1,1.32,10.8,2015,1,1,16,4,18
1,1,3.6,21.6,2015,1,1,25,6,15
1,1,11.9,34.8,2015,1,1,4,6,5
2,1,8.26,39.0,2015,1,1,4,6,21
2,1,1.17,7.3,2015,1,1,1,3,15
2,1,0.64,6.3,2015,1,1,28,2,21
2,1,3.26,18.8,2015,1,1,30,4,8
1,1,11.5,41.75,2015,1,1,8,3,14
2,1,0.87,8.0,2015,1,1,17,5,17
1,1,4.5,21.35,2015,1,1,16,4,21
2,5,5.12,18.3,2015,1,1,14,2,16
2,1,6.44,20.8,2015,1,1,1,3,0
2,1,10.52,38.13,2015,1,1,13,1,11
2,1,0.25,3.8,2015,1,1,6,1,8
1,2,1.6,9.3,2015,1,1,27,1,14
2,1,5.79,23.0,2015,1,1,12,0,9
2,1,1.12,9.12,2015,1,1,24,5,21
1,2,1.4,8.8,2015,1,1,1,3,2
2,1,1.42,7.8,2015,1,1,1,3,15
2,1,5.19,21.8,2015,1,1,4,6,15
2,1,5.38,18.8,2015,1,1,28,2,23
2,1,0.59,5.8,2015,1,1,9,4,13
2,1,7.92,26.0,2015,1,1,30,4,6
2,1,1.12,7.3,2015,1,1,3,5,22
2,2,5.24,20.8,2015,1,1,8,3,22
1,1,1.0,7.3,2015,1,1,16,4,20
2,1,5.49,22.7,2015,1,1,21,2,22
1,1,2.0,11.3,2015,1,1,30,4,16
1,1,1.1,7.8,2015,1,1,8,3,19
2,1,3.51,20.95,2015,1,1,17,5,21
2,1,0.54,4.8,2015,1,1,17,5,16
2,1,0.96,8.6,2015,1,1,6,1,20
2,1,1.76,8.8,2015,1,1,25,6,2
2,1,1.54,8.8,2015,1,1,1,3,5
2,2,0.94,7.8,2015,1,1,13,1,19
2,1,0.5,5.3,2015,1,1,6,1,23
2,1,0.8,8.0,2015,1,1,15,3,16
2,1,0.79,5.8,2015,1,1,8,3,20
2,5,4.22,21.8,2015,1,1,9,4,20
2,1,2.31,12.3,2015,1,1,26,0,18
2,1,3.17,15.3,2015,1,1,22,3,15
2,5,2.09,13.3,2015,1,1,19,0,20
1,1,2.6,12.8,2015,1,1,16,4,13
2,1,0.75,5.3,2015,1,1,4,6,11
2,2,1.61,7.8,2015,1,1,19,0,1
2,1,0.77,5.8,2015,1,1,9,4,4
2,1,0.64,6.36,2015,1,1,25,6,13
2,1,0.77,6.3,2015,1,1,17,5,4
1,1,6.7,28.3,2015,1,1,22,3,19
2,1,3.7,18.3,2015,1,1,11,6,21
2,1,0.57,8.0,2015,1,1,16,4,19
1,1,0.6,5.8,2015,1,1,26,0,9
2,1,2.08,9.8,2015,1,1,1,3,5
2,1,2.03,11.16,2015,1,1,30,4,14
2,1,0.95,7.3,2015,1,1,29,3,14
2,1,0.6,7.3,2015,1,1,10,5,18
2,1,1.74,14.45,2015,1,1,7,2,18
2,1,1.86,12.2,2015,1,1,2,4,16
1,1,0.5,6.35,2015,1,1,12,0,10
2,1,3.89,16.3,2015,1,1,3,5,1
2,1,0.92,6.3,2015,1,1,2,4,18
2,1,4.66,15.0,2015,1,1,22,3,16
1,1,3.2,14.3,2015,1,1,9,4,13
2,1,1.46,10.3,2015,1,1,28,2,19
2,1,5.06,21.8,2015,1,1,23,4,20
2,6,0.97,6.8,2015,1,1,30,4,1
2,1,0.72,6.3,2015,1,1,13,1,23
2,1,1.45,8.3,2015,1,1,10,5,21
2,1,2.78,14.55,2015,1,1,12,0,11
2,1,5.31,19.3,2015,1,1,3,5,10
2,1,1.78,11.3,2015,1,1,20,1,14
2,1,1.15,10.14,2015,1,1,25,6,21
2,1,0.45,4.8,2015,1,1,30,4,13
2,1,0.82,5.8,2015,1,1,26,0,11
2,1,2.99,14.6,2015,1,1,18,6,19
1,1,2.3,13.3,2015,1,1,28,2,9
1,3,1.2,11.15,2015,1,1,12,0,17
2,1,0.87,6.8,2015,1,1,21,2,20
2,3,3.58,18.8,2015,1,1,13,1,9
2,1,0.29,4.8,2015,1,1,25,6,1
2,1,4.44,16.8,2015,1,1,14,2,0
2,1,3.59,20.0,2015,1,1,14,2,19
2,1,1.36,9.3,2015,1,1,16,4,10
2,1,3.09,15.3,2015,1,1,16,4,23
2,1,0.46,5.8,2015,1,1,14,2,6
2,1,1.37,7.8,2015,1,1,7,2,8
2,1,2.22,10.8,2015,1,1,23,4,13
2,1,2.56,12.3,2015,1,1,2,4,9
2,1,8.89,28.3,2015,1,1,28,2,22
1,2,1.3,7.8,2015,1,1,2,4,22
1,1,0.8,5.8,2015,1,1,2,4,15
2,1,2.22,12.0,2015,1,1,21,2,19
1,1,1.2,7.3,2015,1,1,16,4,1
2,1,1.59,10.3,2015,1,1,29,3,14
2,1,0.76,5.3,2015,1,1,1,3,10
2,1,3.51,15.3,2015,1,1,17,5,1
2,1,2.4,10.8,2015,1,1,19,0,10
2,3,2.22,14.55,2015,1,1,30,4,23
2,1,2.92,18.8,2015,1,1,5,0,9
2,3,4.29,18.3,2015,1,1,2,4,18
2,1,1.72,12.68,2015,1,1,23,4,23
2,1,0.87,7.8,2015,1,1,6,1,17
2,1,5.72,19.3,2015,1,1,15,3,21
2,1,5.78,23.0,2015,1,1,11,6,3
1,1,0.5,4.8,2015,1,1,24,5,13
2,2,4.18,17.8,2015,1,1,2,4,18
2,1,0.48,4.8,2015,1,1,28,2,10
2,1,2.04,10.8,2015,1,1,16,4,20
2,1,9.42,31.8,2015,1,1,13,1,13
1,1,1.9,10.3,2015,1,1,5,0,12
2,2,2.69,12.8,2015,1,1,25,6,22
2,1,11.9,42.3,2015,1,1,1,3,19
